Track,_Artist,_Track_Popularity,_Followers,_Genres,_Artist_Popularity,_Release_Date,_Date,_Total_Playlists,_9PM,_All_Funked_Up,_Alternative_R_B,_Amplify,_Are___Be,_Arkada_Calsin,_Bedroom_Jams,_Black_Girl_Magic,_Butter,_Chill_Mode_On,_Chilled_R_B,_Fresh_Finds,_Good_Morning_Jazz,_Next_Wave_Neo_Soul,_POLLEN,_R_B_Feels,_R_B_UK,_Ready_for_the_Day,_Retro_Pop,_Silk_Sheets,_Soul_Coffee,_Soul_Lounge,_Soul_n_the_City,_Soultronic,_Spotify___Chill,_Study_Break,_Sweet_Soul_Sunday,_The_Newness,_This_Is_How_We_Do,_Your_Office_Stereo
More Than Enough,Alina Baraz,67,668817,"['alternative r&b', 'electropop', 'etherpop', 'pop']",76,2020-03-26,2020-05-19,6,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Anyone But Me,Joy Crookes,61,112707,"['alternative r&b', 'indie r&b', 'indie soul', 'uk contemporary r&b']",60,2020-04-08,2020-05-19,5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
Call Your Name,Tora,57,2333,[],46,2020-05-01,2020-05-19,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Got My Back,RIMON,51,39814,"['alternative r&b', 'dutch r&b', 'indie r&b']",53,2020-05-14,2020-05-19,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Paper Thin,Lianne La Havas,63,542644,"['british soul', 'indie r&b', 'indie soul', 'neo soul', 'soul']",65,2020-05-04,2020-05-19,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0
Waiting For (feat. Jamila Woods),rum.gold,59,5848,"['alternative r&b', 'indie r&b']",49,2020-04-24,2020-05-19,5,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fair Chance,Thundercat,60,495111,"['afrofuturism', 'indie soul']",72,2020-03-17,2020-05-19,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
June,Pip Millett,54,43333,"['alternative r&b', 'indie r&b', 'indie soul', 'uk contemporary r&b']",58,2020-03-13,2020-05-19,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
You're Too Precious,James Blake,70,985373,"['art pop', 'indie r&b', 'indie soul', 'indietronica', 'uk alternative pop']",74,2020-04-24,2020-05-19,5,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
i want war (BUT I NEED PEACE),Kali Uchis,67,920112,"['colombian pop', 'pop']",78,2020-04-24,2020-05-19,5,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wee Hours,The-Dream,62,768011,"['dance pop', 'deep pop r&b', 'hip hop', 'hip pop', 'pop', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']",69,2020-04-17,2020-05-19,4,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Dive,Victoria Monét,61,155522,"['alternative r&b', 'deep pop r&b', 'indie r&b', 'post-teen pop']",65,2020-04-21,2020-05-19,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
3 on E,Vulfpeck,57,509668,"['ann arbor indie', 'funk rock', 'instrumental funk']",66,2020-04-03,2020-05-19,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
