Track,_Artist,_Track_Popularity,_Followers,_Genres,_Artist_Popularity,_Release_Date,_Date,_Total_Playlists,_9PM,_All_Funked_Up,_Alternative_R_B,_Amplify,_Are___Be,_Arkada_Calsin,_Bedroom_Jams,_Black_Girl_Magic,_Butter,_Chill_Mode_On,_Chilled_R_B,_Fresh_Finds,_Good_Morning_Jazz,_Next_Wave_Neo_Soul,_POLLEN,_R_B_Feels,_R_B_UK,_Ready_for_the_Day,_Retro_Pop,_Silk_Sheets,_Soul_Coffee,_Soul_Lounge,_Soul_n_the_City,_Soultronic,_Spotify___Chill,_Study_Break,_Sweet_Soul_Sunday,_The_Newness,_This_Is_How_We_Do,_Your_Office_Stereo
Waiting For (feat. Jamila Woods),rum.gold,63,7057,"['alternative r&b', 'indie r&b']",53,2020-04-24,2020-06-12,6,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
You're Too Precious,James Blake,67,994995,"['art pop', 'indie r&b', 'indie soul', 'indietronica', 'uk alternative pop']",74,2020-04-24,2020-06-12,5,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Paper Thin,Lianne La Havas,65,555520,"['british soul', 'indie r&b', 'indie soul', 'neo soul', 'soul']",67,2020-05-04,2020-06-12,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0
Anyone But Me,Joy Crookes,60,117619,"['alternative r&b', 'indie r&b', 'indie soul', 'uk contemporary r&b']",60,2020-04-08,2020-06-12,5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
More Than Enough,Alina Baraz,67,686319,"['alternative r&b', 'electropop', 'etherpop', 'pop']",76,2020-03-26,2020-06-12,5,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Got My Back,RIMON,58,42851,"['alternative r&b', 'dutch r&b', 'indie r&b', 'indie soul']",55,2020-05-14,2020-06-12,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Quarantine Queen,Sinead Harnett,56,231681,"['alternative r&b', 'gauze pop', 'indie r&b', 'indie soul', 'uk contemporary r&b']",65,2020-05-22,2020-06-12,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0
Can't Fight,Lianne La Havas,63,555520,"['british soul', 'indie r&b', 'indie soul', 'neo soul', 'soul']",67,2020-05-18,2020-06-12,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
Fair Chance,Thundercat,56,509690,"['afrofuturism', 'hip hop', 'indie soul']",71,2020-03-17,2020-06-12,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Black Dog,Arlo Parks,66,68344,"['alternative r&b', 'indie r&b', 'indie soul', 'uk contemporary r&b', 'vapor soul']",64,2020-05-04,2020-06-12,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
