Track,_Artist,_Track_Popularity,_Followers,_Genres,_Artist_Popularity,_Release_Date,_Date,_Total_Playlists,_All_About_Country,_Big_Country,_Breakout_Country,_Country_Drive,_Country_Favourites,_Country_Kind_of_Love,_Country_Rocks,_Fresh_Country,_Hot_Country,_Live_Country,_Nashville_Stripped,_Nashvilles_Worldwide_Hot_50,_New_Boots,_New_Music_Nashville,_New_Traditions_Country_Heroes,_Next_From_Nashville,_PopCo,_Still_Hot,_Texas_Music_Now,_Very_Nearly_Nashville,_Women_of_Country
Cool Again,Kane Brown,74,2485473,"['contemporary country', 'country road']",81,2020-04-23,2020-05-25,8,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
Six Feet Apart,Luke Combs,77,2838463,['contemporary country'],86,2020-05-01,2020-05-25,6,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
One Of Them Girls,Lee Brice,74,1248140,"['contemporary country', 'country', 'country road', 'modern country rock']",75,2020-04-10,2020-05-25,6,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
Be A Light,Thomas Rhett,74,3361136,"['contemporary country', 'country', 'country road', 'modern country rock']",80,2020-03-30,2020-05-25,6,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
I Called Mama,Tim McGraw,61,3123676,"['contemporary country', 'country', 'country road']",76,2020-05-08,2020-05-25,6,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0
I Love My Country,Florida Georgia Line,73,3716844,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']",83,2020-03-27,2020-05-25,6,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Lady,Brett Young,72,531226,['contemporary country'],76,2020-05-01,2020-05-25,6,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
Single Saturday Night,Cole Swindell,54,1310554,"['contemporary country', 'country', 'country road', 'modern country rock']",69,2020-05-22,2020-05-25,5,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0
Break. Up. Drunk.,Chase Rice,67,760863,"['contemporary country', 'country', 'country road', 'modern country rock']",73,2020-05-15,2020-05-25,5,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
One Margarita,Luke Bryan,74,5286395,"['contemporary country', 'country', 'country road']",80,2020-03-13,2020-05-25,5,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
No I in Beer,Brad Paisley,61,1755063,"['contemporary country', 'country', 'country road']",71,2020-04-15,2020-05-25,5,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Me Lately,Filmore,59,23451,"['contemporary country', 'country pop']",61,2020-04-03,2020-05-25,5,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0
Beer:30,Florida Georgia Line,62,3716844,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']",83,2020-05-22,2020-05-25,5,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0
More Than My Hometown,Morgan Wallen,78,556213,"['contemporary country', 'country road', 'deep talent show']",82,2020-04-17,2020-05-25,5,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
Hold You Tonight (with Chris Lane),Gryffin,75,507400,"['dance pop', 'edm', 'electro house', 'pop', 'tropical house']",79,2020-04-07,2020-05-25,5,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
Almost Maybes,Jordan Davis,64,249594,['contemporary country'],73,2020-05-08,2020-05-25,5,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
Hot Sauce,BRELAND,50,12324,[],63,2020-05-22,2020-05-25,5,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0
the other girl (with Halsey),Kelsea Ballerini,72,773425,"['contemporary country', 'pop', 'post-teen pop']",77,2020-03-20,2020-05-25,5,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
Champagne Night - From Songland,Lady Antebellum,66,2931865,"['contemporary country', 'country', 'country dawn', 'country pop', 'country road', 'neo mellow']",74,2020-04-13,2020-05-25,5,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Soldier,Craig Morgan,42,632809,"['contemporary country', 'country', 'country road', 'modern country rock', 'redneck']",65,2020-05-22,2020-05-25,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
Every Other Memory,Ryan Hurd,62,82324,"['contemporary country', 'country pop']",65,2020-04-20,2020-05-25,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
BOOTS,HARDY,62,34696,['contemporary country'],69,2020-05-01,2020-05-25,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Comeback,Noah Schnacky,60,26576,"['contemporary country', 'country pop']",58,2020-05-15,2020-05-25,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
On Me (feat. Ava Max),Various Artists,72,893149,[],0,2020-05-15,2020-05-25,4,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
The Luckiest,Josh Abbott Band,43,171551,"['contemporary country', 'country road', 'modern country rock', 'red dirt', 'texas country']",57,2020-05-22,2020-05-25,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0
In The Woulds (feat. Chase Rice & Lauren Alaina),BRELAND,39,12324,[],63,2020-05-22,2020-05-25,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
Cold Beer Calling My Name,Jameson Rodgers,69,23357,"['contemporary country', 'country pop']",62,2020-04-14,2020-05-25,4,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Like A Man,Dallas Smith,60,46942,"['canadian contemporary country', 'canadian country', 'contemporary country', 'country pop', 'country road', 'modern country rock']",59,2020-04-03,2020-05-25,4,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
I Don't Need To Know,Maddie & Tae,55,533618,"['contemporary country', 'country', 'country pop']",68,2020-04-10,2020-05-25,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Where I'm From,The Reklaws,61,21788,"['canadian contemporary country', 'canadian country', 'contemporary country']",58,2020-04-17,2020-05-25,3,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Easy,John King,31,7177,"['contemporary country', 'country pop']",39,2020-05-22,2020-05-25,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
My Reason,Maoli,30,36851,"['jawaiian', 'polynesian pop']",52,2020-05-22,2020-05-25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
Salt and Lime,Clare Dunn,37,31474,"['contemporary country', 'country pop']",52,2020-05-22,2020-05-25,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
Close,Jade Eagleson,56,7922,['canadian contemporary country'],50,2020-04-24,2020-05-25,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Bless My Heart,Cady Groves,35,31915,"['alternative pop rock', 'neon pop punk', 'pop emo']",44,2020-05-22,2020-05-25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
The Stranger,Ingrid Andress,63,34763,"['contemporary country', 'country pop']",65,2020-03-27,2020-05-25,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
All Night,Brothers Osborne,55,648026,"['contemporary country', 'country', 'country road', 'modern country rock', 'modern southern rock']",69,2020-05-15,2020-05-25,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Gaslighter,Dixie Chicks,70,964622,"['contemporary country', 'country', 'country dawn']",73,2020-03-04,2020-05-25,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Grew Apart,Logan Mize,59,55759,"['contemporary country', 'country pop', 'country road', 'modern country rock', 'redneck']",61,2020-05-01,2020-05-25,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Girls Like Me (From Songland),Martina McBride,54,786988,"['contemporary country', 'country', 'country dawn', 'country road']",62,2020-05-04,2020-05-25,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
i don’t really like your boyfriend,Avenue Beat,45,8392,[],58,2020-05-22,2020-05-25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
Red White Blue Jean American Dream,Kip Moore,56,875018,"['contemporary country', 'country', 'country road', 'modern country rock']",69,2020-05-15,2020-05-25,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
