Track,_Artist,_Track_Popularity,_Followers,_Genres,_Artist_Popularity,_Release_Date,_Date,_Total_Playlists,_Akustischer_Fruhling,_All_New_Indie,_Apero,_Arkada_Calsın,_Cafe_Libros,_Coffee_and_Chill,_Feelgood_Indie,_Fresh_Finds,_Fresh_Folk,_Front_Left,_Fruhlings_Chillout,_Fruhlingsgefuhle,_Gentle_Acoustic,_Hanging_Out_and_Relaxing,_Indie_Pop,_Indie_Stage,_Infinite_Acoustic,_Its_ALT_Good!,_Lorem,_Lost_In_The_Woods,_Melancolia_Indie,_MostBeautifulSongsintheWorld,_OFF_POP,_POLLEN,_Rockin_Vibes,_Roots_Rising,_The_Indie_List,_The_New_Alt,_The_Stress_Buster,_Totally_Alt,_Totally_Stress_Free,_Ultimate_Indie,_Van_Life,_Wake_Up_and_Smell_the_Coffee,_Wild_and_Free,_Young___Free,_Your_Coffee_Break,_Your_Office_Stereo
Garden Song,Phoebe Bridgers,65,217558,"['art pop', 'indie folk', 'indie pop', 'indie rock']",71,2020-02-26,2020-06-04,10,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
You're Too Precious,James Blake,68,991795,"['art pop', 'electropop', 'indie r&b', 'indie soul', 'indietronica', 'uk alternative pop']",74,2020-04-24,2020-06-04,9,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1
Pretty Lady,Tash Sultana,69,1077369,['australian reggae fusion'],71,2020-04-09,2020-06-04,8,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
Sleep On The Wing,Bibio,55,173685,"['ambient folk', 'chillwave', 'downtempo', 'electronica', 'folktronica', 'indie soul', 'indietronica']",62,2020-05-05,2020-06-04,7,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
I Know Alone,HAIM,62,906544,"['dance pop', 'indie pop', 'indietronica', 'metropopolis', 'pop', 'pop rock', 'rock']",72,2020-04-29,2020-06-04,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Black Dog,Arlo Parks,65,65232,"['alternative r&b', 'indie r&b', 'indie soul', 'uk contemporary r&b', 'vapor soul']",63,2020-05-04,2020-06-04,6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Dynamite,Saint Sister,54,15947,['irish indie'],50,2020-03-02,2020-06-04,6,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1
Don't Let Me Down,Milky Chance,50,1318886,['german pop'],76,2020-05-01,2020-06-04,6,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Time (You and I),Khruangbin,67,573173,"['funk', 'neo-psychedelic', 'soul']",74,2020-04-27,2020-06-04,6,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Window,Still Woozy,73,407247,"['bedroom pop', 'indie pop', 'modern rock', 'oakland indie']",74,2020-04-17,2020-06-04,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
